movie_id,movie_ver_id,movie_title,movie_director,movie_release_date,movie_synopsis,movie_duration_time,movie_main_genre,movie_total_gross,movie_rating
d9367afb-68ea-3843-bb09-0fa5a9941e7f,0db9c118-6c14-3503-aa97-d45ca03b9499,RENAISSANCE: A FILM BY BEYONCÉ,Beyoncé,2023-12-01,"RENAISSANCE: A FILM BY BEYONCÉ accentuates the journey of RENAISSANCE WORLD TOUR, from its inception, to the opening in Stockholm, Sweden, to the finale in Kansas City, Missouri. It is about Beyoncé's intention, hard work, involvement in every aspect of the production, her creative mind and purpose to create her legacy, and master her craft. Received with extraordinary acclaim, Beyoncé's RENAISSANCE WORLD TOUR created a sanctuary for freedom, and shared joy, for more than 2.7 million fans.",168,Documentary,30804268,99
a997747f-ac00-3e3e-a878-62f7e52d15c1,bcae7ba5-6d56-35e0-b2d3-2425a7aa5557,Silent Night,John Woo,2023-12-01,"A gritty revenge tale of a tormented father who witnesses his young son die when caught in a gang’s crossfire on Christmas Eve. While recovering from a wound that costs him his voice, he makes vengeance his life’s mission and embarks on a punishing training regimen in order to avenge his son’s death.",103,Holiday,7315450,51
6dd2100d-803d-4452-bc95-5afaa87f4f34,d7eaa2fd-553c-4086-bf3d-3ea6a7586acd,Saltburn,Emerald Fennell,2023-11-17,"Academy Award winning filmmaker Emerald Fennell (Promising Young Woman) brings us a beautifully wicked tale of privilege and desire. Struggling to find his place at Oxford University, student Oliver Quick (Barry Keoghan) finds himself drawn into the world of the charming and aristocratic Felix Catton (Jacob Elordi), who invites him to Saltburn, his eccentric family's sprawling estate, for a summer never to be forgotten.",131,Comedy,10164647,79
65021aba-fbbf-3c55-b038-4d324afb1a96,41b1db48-ca1b-3e92-a226-088bb4e3054e,The Holdovers,Alexander Payne,2023-10-27,"From acclaimed director Alexander Payne, THE HOLDOVERS follows a curmudgeonly instructor (Paul Giamatti) at a New England prep school who is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually he forms an unlikely bond with one of them -- a damaged, brainy troublemaker (newcomer Dominic Sessa) -- and with the school's head cook, who has just lost a son in Vietnam (Da'Vine Joy Randolph).",133,Holiday,17199004,91
10b522a5-873e-3e15-bd8b-65a079ab0b09,41cfa2af-7283-314e-a192-511054f89426,The Marvels,Nia DaCosta,2023-11-10,"Carol Danvers aka Captain Marvel has reclaimed her identity from the tyrannical Kree and taken revenge on the Supreme Intelligence. But unintended consequences see Carol shouldering the burden of a destabilized universe. When her duties send her to an anomalous wormhole linked to a Kree revolutionary, her powers become entangled with that of Jersey City super-fan, Kamala Khan aka Ms. Marvel, and Carol's estranged niece, now S.A.B.E.R. astronaut Captain Monica Rambeau. Together, this unlikely trio must team-up and learn to work in concert to save the universe as ""The Marvels.""",105,Action,84029704,83
95e645f5-996b-3841-a1e1-246ba5f2bbcf,32c54b15-57a4-3231-af99-1e05ded5c080,Thanksgiving,Eli Roth,2023-11-17,"After a Black Friday riot ends in tragedy, a mysterious Thanksgiving-inspired killer terrorizes Plymouth, Massachusetts -- the birthplace of the holiday. Picking off residents one by one, what begins as random revenge killings are soon revealed to be part of a larger, sinister holiday plan. Will the town uncover the killer and survive the holidays... or become guests at his twisted holiday dinner table?",107,Holiday,31457000,79
132d6f06-45c4-4730-b0e9-a620e464eee9,f1c5e76f-1b7c-4f7c-a532-6d8aad46cb4c,Maestro,Bradley Cooper,2023-11-22,"Maestro is a towering and fearless love story chronicling the lifelong relationship between Leonard Bernstein and Felicia Montealegre Cohn Bernstein. A love letter to life and art, Maestro at its core is an emotionally epic portrayal of family and love.",129,Biography,,85
7e2d7520-d808-437a-9e05-348a39ff8d30,91cee500-06a0-4785-86f1-e24f32a94d02,TAYLOR SWIFT | THE ERAS TOUR,Sam Wrench,2023-10-13,"The cultural phenomenon continues on the big screen! Immerse yourself in this once-in-a-lifetime concert film experience with a breathtaking, cinematic view of the history-making tour.",168,Documentary,178901008,98
dcd3251b-7779-3576-8aa8-82e5fc6c6929,a383a32a-eeb9-3c90-9af7-771ca0a91b60,Waitress: The Musical,Brett Sullivan,2023-12-07,"Waitress: The Musical brings the Tony-nominated, Broadway phenomenon to the big screen. Featuring composer-lyricist Sara Bareilles as Jenna Hunterson, a waitress and expert pie maker stuck in a small town and a loveless marriage. When a baking contest in a nearby county offers her a chance at escape, Jenna fights to reclaim a long-forgotten part of herself. Through the support of her fellow waitresses and an unexpected romance, Jenna begins to find the courage to take a long-abandoned dream off the shelf. Waitress celebrates the power of friendship, dreams, the family we choose and the beauty of a well-baked pie.",144,Drama,4842232,98
cb28c837-b943-4ed8-9e4a-b1db47fcc59a,69b687b4-1022-47e2-ac31-5d6dfb75b6ff,American Fiction,Cord Jefferson,2023-12-15,"AMERICAN FICTION is Cord Jefferson's hilarious directorial debut, which confronts our culture's obsession with reducing people to outrageous stereotypes. Jeffrey Wright stars as Monk, a frustrated novelist who's fed up with the establishment profiting from ""Black"" entertainment that relies on tired and offensive tropes. To prove his point, Monk uses a pen name to write an outlandish ""Black"" book of his own, a book that propels him to the heart of hypocrisy and the madness he claims to disdain.",117,Comedy,224469,
92544d9c-07d4-4c2f-a992-ebc26b53c91d,43856f2f-54d2-413d-8fb8-7f5464f4c618,,None,None,None,None,None,None,None
45f225e9-0edc-4a3b-8e3a-419d87876f0c,e1d676a0-e07d-460a-abef-91769b36d9b3,Origin,Ava DuVernay,2023-12-08,"While grappling with tremendous personal tragedy, Isabel sets herself on a path of global investigation and discovery. Despite the colossal scope of her project, she finds beauty and bravery while crafting one of the defining American books of our time.",135,Drama,,
60b38add-1650-39f1-9151-fc7a2503cf2a,6e36bb8c-0b45-344b-896c-3cbc2ea182e3,Animal,Sandeep Reddy Vanga,2023-12-01,"This is the story of a son whose love for his father knows no bounds. As their bond begins to fracture, a chain of extraordinary events unfolds, causing the son to undergo a remarkable transformation consumed by a thirst for vengeance.",204,Action,13647140,80
0fa7b861-871a-405c-bbe7-cc4131097e61,9747bcd1-9904-4032-8264-b65ee0f6daf4,Eileen,William Oldroyd,2023-12-01,"Eileen is a peculiar young woman -- aloof and unfazed by the gloomy nature of her job at the local youth prison. But something in her changes the day that the new counsellor, Dr. Rebecca St. John arrives. She is instantly captivated by Rebecca's glamorous, enigmatic presence. As the two women grow closer, Eileen is inspired to explore new facets of her own personality and desires. But her metamorphosis takes a twisted turn when Rebecca reveals a dark secret -- throwing Eileen onto a much more sinister path.",96,Mystery & Thriller,1240599,52
00bf94b6-496c-3878-9f66-20f39c2f4425,972b944a-b513-31ee-80fc-abda5efc43e6,Hi Nanna,Shouryuv,2023-12-07,A doting father and his 6-year-old daughter find their lives taking a dramatic turn when the woman he loves marries someone else.,156,Drama,,96
00fae6a8-c3ae-3e4a-85ad-98e2b4d40c42,600e3583-bf63-3d9c-89ba-98ec705ff1a6,Abo Nasab,Rami Imam,2023-12-15,A doctor gets into many conflicts due to lineage problems and the disputes that occur between families because of this issue.,,Comedy,,
12221373-ce36-4ba3-a6f3-dea5adc1e199,caae64f9-2a69-4cbb-85fa-d6531706f9f8,Radical,Christopher Zalla,2023-11-03,"In a Mexican border town plagued by neglect, corruption, and violence, a frustrated teacher tries a radical new method to break through his students' apathy and unlock their curiosity, their potential... and maybe even their genius. Based on a true story.",127,Drama,8548261,99
5cc68de4-4d3b-4626-8805-23cc64cf2e84,d93ed4a8-5cc9-4208-b19b-01cbf8bab4a9,12.12: The Day,Kim Sung-soo,2023-11-23,,101,Drama,,98
85901478-2ea5-48ce-a890-f6c85b878289,f53de735-df9f-4680-8a3e-1def2b42ae65,Dream Scenario,Kristoffer Borgli,2023-11-10,"Hapless family man Paul Matthews (Nicolas Cage) finds his life turned upside down when millions of strangers suddenly start seeing him in their dreams. But when his nighttime appearances take a nightmarish turn, Paul is forced to navigate his newfound stardom, in this wickedly entertaining comedy from writer-director Kristoffer Borgli (Sick of Myself) and producer Ari Aster.",102,Comedy,4862000,68
ff9918ce-f29e-3e6c-a421-166c60742d9a,3c7caf07-c162-3c6d-a062-140677007b23,Killers of the Flower Moon,Martin Scorsese,2023-10-20,"Based on David Grann's broadly lauded best-selling book, ""Killers of the Flower Moon"" is set in 1920s Oklahoma and depicts the serial murder of members of the oil-wealthy Osage Nation, a string of brutal crimes that came to be known as the Reign of Terror.",206,Crime,67118560,84
